_id,permit_number,s_name,s_address,city,z_code,p_fee,pa_license_no,contractor_name,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,status,latitude,longitude
7251007,PAA224069,VACANT RESIDENCE,5203  COLUMBO ST,PITTSBURGH,15224,350,975,AWJ CONTRACTING,DEMOLITION IN PLACE,6700,f,2022-02-10,2022-02-28,JOE YAKUBISIN,t,f,2022-02-28,PAA,COMPLETE,40.469265,-79.9389135
7251008,DEM210190,VACANT RESIDENCE,327  REYNOLDS ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",ACM REMOVED UNDER PAA19-4411 PER ELIZABETH GODUSKY,,f,2021-12-07,2022-12-07,ELIZABETH LETURGEY,f,f,2022-12-07,DEM,COMPLETE,,
7251009,DEM210191,CITY OWNED PROPERTY,412  26TH ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",ALL ACM REMOVED UNDER PAA19-4413 PER ELIZABETH GODUSKY,500,f,2021-12-07,2022-12-07,ELIZABETH LETURGEY,f,f,2022-12-07,DEM,COMPLETE,40.335174,-79.8469245
7251010,DEM210194,CITY OWNED PROPERTY,3201  WALNUT ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",ALL ACM REMOVED UNDER PAA19-4404 PER ELIZABETH LETURGEY,700,f,2021-12-07,2022-12-07,ELIZABETH LETURGEY,f,f,2022-12-07,DEM,COMPLETE,40.330539,-79.8426135
7251011,DEM210195,VACANT RESIDENCE,228  PERRY ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",ALL ACM REMOVED UNDER PERMIT PAA19-4412,0,f,2021-12-07,2022-12-07,ELIZABETH LETURGEY,f,f,2022-12-07,DEM,COMPLETE,40.3215124550001,-79.8288342389999
7251012,DEM210198,VACAN T RESIDENCE,615  NORTH GRANDVIEW AVE,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",REMOVE BASEMENT BOILER GASKETS,30,f,2021-12-07,2022-12-07,ELIZABETH LETURGEY,f,f,2022-12-07,DEM,COMPLETE,40.337681693,-79.8359835649999
7251013,DEM210225,VACANT RESIDENCE,105  BEAVER ST,SEWICKLEY,15143,0,971,"TRIFECTA TEAM, LLC",REMOVE BASEMENT PIPE INSULATION,130,f,2021-12-21,2021-12-24,JOE YAKUBISIN,t,f,2021-12-24,DEM,COMPLETE,40.54383,-80.1846315
7251014,DEM220017,CITY OF MCKEESPORT REGULATED PROPERTY,2207  JENNY LIND ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",ABATEMENT COMPLETED UNDER PERMIT PAA19-4405,,f,2022-02-04,2022-07-31,ELIZABETH LETURGEY,t,f,2022-07-31,DEM,COMPLETE,,
7251015,DEM220018,CITY OF MCKEESPORT REGULATED PROPERTY,2913  JENNY LIND ST,MCKEESPORT,15132,0,971,"TRIFECTA TEAM, LLC",ABATEMENT COMPLETED UNDER PAA19-4406,,f,2022-02-07,2022-07-31,ELIZABETH LETURGEY,t,f,2022-07-31,DEM,COMPLETE,,
7251016,PAA220178,JEWISH COMMUNITY CENTER - 261 ROSECREST DR,,VERONA,15147,1250,975,AWJ CONTRACTING,REMOVE BOYS/GIRLS LOCKER ROOM FLOOR TILE AND MASTIC,4000,f,2022-03-13,2022-03-28,JOE YAKUBISIN,t,f,2022-03-28,PAA,COMPLETE,40.4897523700001,-79.834942241
