_id,PARID,FULL_ADDRESS,PROPERTYHOUSENUM,PROPERTYFRACTION,PROPERTYADDRESSDIR,PROPERTYADDRESSSTREET,PROPERTYADDRESSSUF,PROPERTYADDRESSUNITDESC,PROPERTYUNITNO,PROPERTYCITY,PROPERTYSTATE,PROPERTYZIP,SCHOOLCODE,SCHOOLDESC,MUNICODE,MUNIDESC,RECORDDATE,SALEDATE,PRICE,DEEDBOOK,DEEDPAGE,SALECODE,SALEDESC,INSTRTYP,INSTRTYPDESC
77445779,0060H00156000000,"233 E MEYERS ST, PITTSBURGH, PA 15210",233, ,E,MEYERS,ST,,,PITTSBURGH,PA,15210,47,Pittsburgh,129,29th Ward - PITTSBURGH,2014-01-27,2014-01-27,35000,15498,100,37,ESTATE SALE,DE,DEED
77446338,0096E00224000000,"1136 CREEDMOOR AVE, PITTSBURGH, PA 15226",1136, ,,CREEDMOOR,AVE,,,PITTSBURGH,PA,15226,47,Pittsburgh,119,19th Ward - PITTSBURGH,2014-01-24,2014-01-24,31200,15497,211,37,ESTATE SALE,FD,FIDUCIARY DEED
77446450,0004H00229000000,"0 WILLIAM ST, PITTSBURGH, PA 15203",0, ,,WILLIAM,ST,,,PITTSBURGH,PA,15203,47,Pittsburgh,118,18th Ward - PITTSBURGH,2014-02-03,2014-02-03,60000,15505,511,37,ESTATE SALE,DE,DEED
77446581,0016F00076000000,"983 TROPICAL AVE, PITTSBURGH, PA 15216",983, ,,TROPICAL,AVE,,,PITTSBURGH,PA,15216,47,Pittsburgh,119,19th Ward - PITTSBURGH,2014-01-29,2014-01-29,70000,15500,371,37,ESTATE SALE,DE,DEED
77446934,0047A00195000000,"1114 FABYAN ST, PITTSBURGH, PA 15212",1114, ,,FABYAN,ST,,,PITTSBURGH,PA,15212,47,Pittsburgh,126,26th Ward - PITTSBURGH,2013-09-19,2013-09-19,20000,15379,115,37,ESTATE SALE,FD,FIDUCIARY DEED
77448316,0082M00146000000,"1221 MILLBRAE WAY, PITTSBURGH, PA 15206",1221, ,,MILLBRAE,WAY,,,PITTSBURGH,PA,15206,47,Pittsburgh,111,11th Ward - PITTSBURGH,2014-02-20,2014-02-20,45000,15519,1,37,ESTATE SALE,DE,DEED
77449165,0052E00011061600,"128 N CRAIG ST, UNIT 616, PITTSBURGH, PA 15213",128, ,N,CRAIG,ST,UNIT,616,PITTSBURGH,PA,15213,47,Pittsburgh,104,4th Ward - PITTSBURGH,2014-03-03,2014-03-03,106425,15527,245,37,ESTATE SALE,DE,DEED
77449282,0068H00234000000,"251 BALVER AVE, PITTSBURGH, PA 15205",251, ,,BALVER,AVE,,,PITTSBURGH,PA,15205,47,Pittsburgh,128,28th Ward - PITTSBURGH,2014-03-13,2014-03-13,124900,15539,192,37,ESTATE SALE,DE,DEED
77449725,0115D00222000000,"3870 EAST ST, PITTSBURGH, PA 15214",3870, ,,EAST,ST,,,PITTSBURGH,PA,15214,47,Pittsburgh,126,26th Ward - PITTSBURGH,2014-03-13,2014-03-13,16500,15538,217,37,ESTATE SALE,DE,DEED
77450002,0042N00168000000,"1221 FAIRDALE ST, PITTSBURGH, PA 15204",1221, ,,FAIRDALE,ST,,,PITTSBURGH,PA,15204,47,Pittsburgh,120,20th Ward - PITTSBURGH,2014-03-13,2014-03-13,12000,15538,588,37,ESTATE SALE,DE,DEED
